id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,ano,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
789390,2010-10-21,quinta,15:30:00,rj,101,323,niteroi,outras,colisao traseira,sem vitimas,pleno dia,crescente,ceu claro,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
789429,2010-10-20,quarta,07:00:00,rj,101,327,niteroi,outras,colisao lateral,sem vitimas,pleno dia,decrescente,sol,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
789511,2010-10-17,domingo,22:17:00,rj,101,329,niteroi,defeito mecanico em veiculo,colisao traseira,sem vitimas,plena noite,decrescente,chuva,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
789623,2010-10-22,sexta,03:30:00,rj,101,323,niteroi,falta de atencao,colisao lateral,sem vitimas,plena noite,decrescente,ceu claro,dupla,curva,urbano,2010,2,0,0,0,2,0,0,2,,,,,
789831,2010-10-22,sexta,12:50:00,rj,101,322,niteroi,outras,colisao traseira,sem vitimas,pleno dia,decrescente,ceu claro,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
789910,2010-10-22,sexta,17:20:00,rj,101,328,rio de janeiro,outras,colisao lateral,sem vitimas,pleno dia,decrescente,ceu claro,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
790042,2010-10-22,sexta,20:50:00,rj,101,322,niteroi,outras,colisao traseira,sem vitimas,plena noite,decrescente,nublado,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
790265,2010-10-23,sabado,09:55:00,rj,101,322,niteroi,outras,colisao traseira,sem vitimas,pleno dia,decrescente,nublado,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
790392,2010-10-23,sabado,17:15:00,rj,101,323,niteroi,nao guardar distancia de seguranca,colisao traseira,sem vitimas,pleno dia,decrescente,ceu claro,multipla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
790481,2010-10-23,sabado,19:50:00,rj,101,322,niteroi,outras,colisao traseira,sem vitimas,plena noite,decrescente,nublado,simples,curva,urbano,2010,3,0,0,0,3,0,0,3,,,,,
790554,2010-10-23,sabado,23:40:00,rj,101,322,niteroi,falta de atencao,colisao traseira,sem vitimas,plena noite,decrescente,chuva,multipla,reta,urbano,2010,3,0,0,0,3,0,0,3,,,,,
790570,2010-10-23,sabado,23:50:00,rj,101,321,niteroi,outras,colisao lateral,sem vitimas,pleno dia,decrescente,chuva,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
790635,2010-10-24,domingo,04:41:00,rj,101,332,niteroi,ingestao de alcool,colisao com objeto fixo,com vitimas feridas,plena noite,decrescente,chuva,dupla,reta,urbano,2010,1,0,1,0,0,0,1,1,,,,,
791061,2010-10-21,quinta,17:05:00,rj,101,331,rio de janeiro,outras,colisao traseira,sem vitimas,pleno dia,crescente,ceu claro,dupla,reta,urbano,2010,3,0,0,0,3,0,0,3,,,,,
791095,2010-10-25,segunda,07:06:00,rj,101,329,niteroi,outras,colisao traseira,com vitimas feridas,pleno dia,decrescente,nublado,dupla,reta,urbano,2010,2,0,1,0,1,0,1,2,,,,,
791317,2010-10-25,segunda,17:10:00,rj,101,328,niteroi,outras,colisao traseira,sem vitimas,pleno dia,decrescente,ceu claro,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
791624,2010-10-26,terca,06:15:00,rj,101,324,niteroi,outras,colisao com objeto fixo,sem vitimas,amanhecer,crescente,chuva,dupla,reta,urbano,2010,1,0,0,0,1,0,0,1,,,,,
791672,2010-10-22,sexta,20:32:00,rj,101,322,niteroi,outras,colisao traseira,com vitimas feridas,pleno dia,decrescente,ceu claro,dupla,reta,urbano,2010,2,0,1,0,1,0,1,2,,,,,
791693,2010-10-22,sexta,23:08:00,rj,101,321,niteroi,outras,colisao lateral,sem vitimas,plena noite,decrescente,ceu claro,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
791972,2010-10-26,terca,20:00:00,rj,101,328,rio de janeiro,outras,colisao traseira,sem vitimas,plena noite,decrescente,chuva,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
791989,2010-10-26,terca,21:30:00,rj,101,321,niteroi,outras,colisao traseira,sem vitimas,plena noite,decrescente,chuva,simples,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
792004,2010-10-26,terca,22:00:00,rj,101,322,niteroi,outras,colisao com objeto fixo,sem vitimas,plena noite,crescente,chuva,dupla,reta,urbano,2010,1,0,0,0,1,0,0,1,,,,,
792012,2010-10-26,terca,22:20:00,rj,101,322,niteroi,outras,colisao com objeto movel,sem vitimas,plena noite,decrescente,chuva,dupla,reta,urbano,2010,1,0,0,0,1,0,0,1,,,,,
792519,2010-10-27,quarta,14:00:00,rj,101,321,niteroi,outras,colisao traseira,sem vitimas,pleno dia,crescente,nublado,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
792608,2010-10-24,domingo,01:47:00,rj,101,322,niteroi,outras,colisao frontal,sem vitimas,plena noite,crescente,nublado,simples,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
792609,2010-10-27,quarta,13:26:00,rj,101,332,rio de janeiro,outras,colisao traseira,sem vitimas,pleno dia,crescente,nublado,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
792916,2010-10-28,quinta,15:30:00,rj,101,327,niteroi,defeito mecanico em veiculo,colisao com objeto movel,sem vitimas,pleno dia,crescente,ceu claro,dupla,reta,urbano,2010,3,0,0,0,3,0,0,3,,,,,
792947,2010-10-28,quinta,16:50:00,rj,101,329,rio de janeiro,outras,colisao traseira,com vitimas feridas,pleno dia,decrescente,ceu claro,dupla,reta,urbano,2010,2,0,1,0,1,0,1,2,,,,,
793172,2010-10-25,segunda,21:00:00,rj,101,329,rio de janeiro,outras,colisao com objeto movel,sem vitimas,plena noite,decrescente,nublado,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
793224,2010-10-29,sexta,08:27:00,rj,101,328,niteroi,falta de atencao,colisao traseira,com vitimas feridas,pleno dia,decrescente,ceu claro,multipla,reta,urbano,2010,3,0,2,0,1,0,2,2,,,,,
793413,2010-10-29,sexta,17:00:00,rj,101,328,niteroi,outras,colisao traseira,sem vitimas,pleno dia,decrescente,sol,dupla,reta,urbano,2010,3,0,0,0,3,0,0,3,,,,,
793753,2010-10-26,terca,22:00:00,rj,101,321,niteroi,outras,colisao traseira,sem vitimas,plena noite,decrescente,ceu claro,simples,reta,urbano,2010,4,0,0,0,4,0,0,4,,,,,
793889,2010-10-30,sabado,13:20:00,rj,101,321,niteroi,outras,colisao traseira,com vitimas feridas,pleno dia,crescente,sol,dupla,reta,urbano,2010,6,0,2,0,4,0,2,5,,,,,
794194,2010-10-30,sabado,23:10:00,rj,101,329,rio de janeiro,outras,colisao lateral,sem vitimas,plena noite,decrescente,chuva,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
